0	0	0	0
1	0	0	1
2	0	0	2
0	1	0	3
1	1	0	4
2	1	0	5
0	2	0	6
1	2	0	7
2	2	0	8
0	3	0	9
1	3	0	10
2	3	0	11
0	4	0	12
1	4	0	13
2	4	0	14
0	0	1	15
1	0	1	16
2	0	1	17
0	1	1	18
1	1	1	19
2	1	1	20
0	2	1	21
1	2	1	22
2	2	1	23
0	3	1	24
1	3	1	25
2	3	1	26
0	4	1	27
1	4	1	28
2	4	1	29
0	0	2	30
1	0	2	31
2	0	2	32
0	1	2	33
1	1	2	34
2	1	2	35
0	2	2	36
1	2	2	37
2	2	2	38
0	3	2	39
1	3	2	40
2	3	2	41
0	4	2	42
1	4	2	43
2	4	2	44
0	0	3	45
1	0	3	46
2	0	3	47
0	1	3	48
1	1	3	49
2	1	3	50
0	2	3	51
1	2	3	52
2	2	3	53
0	3	3	54
1	3	3	55
2	3	3	56
0	4	3	57
1	4	3	58
2	4	3	59
0	0	4	60
1	0	4	61
2	0	4	62
0	1	4	63
1	1	4	64
2	1	4	65
0	2	4	66
1	2	4	67
2	2	4	68
0	3	4	69
1	3	4	70
2	3	4	71
0	4	4	72
1	4	4	73
2	4	4	74
0	0	5	75
1	0	5	76
2	0	5	77
0	1	5	78
1	1	5	79
2	1	5	80
0	2	5	81
1	2	5	82
2	2	5	83
0	3	5	84
1	3	5	85
2	3	5	86
0	4	5	87
1	4	5	88
2	4	5	89
0	0	6	90
1	0	6	91
2	0	6	92
0	1	6	93
1	1	6	94
2	1	6	95
0	2	6	96
1	2	6	97
2	2	6	98
0	3	6	99
1	3	6	100
2	3	6	101
0	4	6	102
1	4	6	103
2	4	6	104
